,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,symbol,exchange,date,name,final_volume
28,230.88,237.27,227.647,229.66,3890519.0,237.27,227.647,229.66,230.88,3890519.0,SE,XNYS,2021-01-14 00:00:00+00:00,Sea Ltd,3890519.0
27,230.88,233.48,222.08,226.05,2346791.0,233.48,222.08,226.05,230.88,2346791.0,SE,XNYS,2021-01-15 00:00:00+00:00,Sea Ltd,2346791.0
26,232.45,234.5,226.05,231.64,2515838.0,234.5,226.05,231.64,232.45,2515838.0,SE,XNYS,2021-01-19 00:00:00+00:00,Sea Ltd,2515838.0
25,238.2,238.42,232.08,233.15,2152465.0,238.42,232.08,233.15,238.2,2152465.0,SE,XNYS,2021-01-20 00:00:00+00:00,Sea Ltd,2152465.0
24,233.38,237.0,232.0,233.96,1647981.0,237.0,232.0,233.96,233.38,1647981.0,SE,XNYS,2021-01-21 00:00:00+00:00,Sea Ltd,1647981.0
23,232.61,236.79,230.2501,236.49,2043125.0,236.79,230.2501,236.49,232.61,2043125.0,SE,XNYS,2021-01-22 00:00:00+00:00,Sea Ltd,2043125.0
22,240.0,240.44,226.14,228.68,4295183.0,240.44,226.14,228.68,240.0,4295183.0,SE,XNYS,2021-01-25 00:00:00+00:00,Sea Ltd,4295183.0
21,230.0,232.33,215.81,217.22,3869562.0,232.33,215.81,217.22,230.0,3869562.0,SE,XNYS,2021-01-26 00:00:00+00:00,Sea Ltd,3869562.0
20,212.265,223.1728,203.06,205.78,6372982.0,223.1728,203.06,205.78,212.265,6372982.0,SE,XNYS,2021-01-27 00:00:00+00:00,Sea Ltd,6372982.0
19,210.0,228.41,209.3,219.78,5835048.0,228.41,209.3,219.78,210.0,5835048.0,SE,XNYS,2021-01-28 00:00:00+00:00,Sea Ltd,5835048.0
18,218.06,221.61,211.25,216.71,3419572.0,221.61,211.25,216.71,218.06,3419572.0,SE,XNYS,2021-01-29 00:00:00+00:00,Sea Ltd,3419572.0
17,222.97,236.98,222.97,233.53,4397109.0,236.98,222.97,233.53,222.97,4397109.0,SE,XNYS,2021-02-01 00:00:00+00:00,Sea Ltd,4397109.0
16,235.92,241.78,231.0,238.54,3372204.0,241.78,231.0,238.54,235.92,3372204.0,SE,XNYS,2021-02-02 00:00:00+00:00,Sea Ltd,3372204.0
15,244.77,246.33,239.7042,243.54,3816463.0,246.33,239.7042,243.54,244.77,3816463.0,SE,XNYS,2021-02-03 00:00:00+00:00,Sea Ltd,3816463.0
14,244.29,245.71,237.32,243.96,2435698.0,245.71,237.32,243.96,244.29,2435698.0,SE,XNYS,2021-02-04 00:00:00+00:00,Sea Ltd,2435698.0
13,244.0,258.64,242.3937,256.76,3637720.0,258.64,242.3937,256.76,244.0,3637720.0,SE,XNYS,2021-02-05 00:00:00+00:00,Sea Ltd,3637720.0
12,258.69,269.14,258.31,263.46,3687350.0,269.14,258.31,263.46,258.69,3687350.0,SE,XNYS,2021-02-08 00:00:00+00:00,Sea Ltd,3687350.0
11,266.1,278.3499,266.01,274.66,3958608.0,278.3499,266.01,274.66,266.1,3958608.0,SE,XNYS,2021-02-09 00:00:00+00:00,Sea Ltd,3958608.0
10,277.09,281.77,265.2,270.97,4086918.0,281.77,265.2,270.97,277.09,4086918.0,SE,XNYS,2021-02-10 00:00:00+00:00,Sea Ltd,4086918.0
9,273.0,277.5,268.265,274.63,2404797.0,277.5,268.265,274.63,273.0,2404797.0,SE,XNYS,2021-02-11 00:00:00+00:00,Sea Ltd,2404797.0
8,270.37,277.38,268.78,276.12,2604675.0,277.38,268.78,276.12,270.37,2604675.0,SE,XNYS,2021-02-12 00:00:00+00:00,Sea Ltd,2604675.0
7,281.92,285.0,275.25,278.14,3052882.0,285.0,275.25,278.14,281.92,3052882.0,SE,XNYS,2021-02-16 00:00:00+00:00,Sea Ltd,3052882.0
6,275.11,275.96,264.51,268.22,3649941.0,275.96,264.51,268.22,275.11,3649941.0,SE,XNYS,2021-02-17 00:00:00+00:00,Sea Ltd,3649941.0
5,263.87,268.13,255.15,267.5,3309424.0,268.13,255.15,267.5,263.87,3309424.0,SE,XNYS,2021-02-18 00:00:00+00:00,Sea Ltd,3309424.0
4,271.83,280.64,270.88,280.0,3561234.0,280.64,270.88,280.0,271.83,3561234.0,SE,XNYS,2021-02-19 00:00:00+00:00,Sea Ltd,3561234.0
3,272.77,273.01,250.93,252.96,5791700.0,273.01,250.93,252.96,272.77,5917122.0,SE,XNYS,2021-02-22 00:00:00+00:00,Sea Ltd,5917122.0
2,240.36,255.9499,229.27,251.81,7832162.0,255.9499,229.27,251.81,240.36,7832162.0,SE,XNYS,2021-02-23 00:00:00+00:00,Sea Ltd,7832162.0
1,253.11,254.0,240.64,248.04,4194623.0,254.0,240.64,248.04,253.11,4219178.0,SE,XNYS,2021-02-24 00:00:00+00:00,Sea Ltd,4219178.0
0,248.0,250.8,232.0662,235.35,4710062.0,250.8,232.0662,235.35,248.0,4709904.0,SE,XNYS,2021-02-25 00:00:00+00:00,Sea Ltd,4709904.0
55,271.02,271.3,266.27,267.25,15527567.0,271.3,266.27,267.25,271.02,15527567.0,BABA,XNYS,2020-12-04 00:00:00+00:00,Alibaba Group Holding Ltd,15527567.0
54,265.7,265.97,262.6,264.0,11388712.0,265.97,262.6,264.0,265.7,11388712.0,BABA,XNYS,2020-12-07 00:00:00+00:00,Alibaba Group Holding Ltd,11388712.0
53,265.2,268.4,263.87,266.09,9447654.0,268.4,263.87,266.09,265.2,9447654.0,BABA,XNYS,2020-12-08 00:00:00+00:00,Alibaba Group Holding Ltd,9447654.0
52,267.56,267.91,263.1,263.8,9060730.0,267.91,263.1,263.8,267.56,9060730.0,BABA,XNYS,2020-12-09 00:00:00+00:00,Alibaba Group Holding Ltd,9060730.0
51,261.99,266.0899,261.2001,264.87,10290254.0,266.0899,261.2001,264.87,261.99,10290254.0,BABA,XNYS,2020-12-10 00:00:00+00:00,Alibaba Group Holding Ltd,10290254.0
50,264.29,265.3199,262.5,264.54,7771290.0,265.3199,262.5,264.54,264.29,7771290.0,BABA,XNYS,2020-12-11 00:00:00+00:00,Alibaba Group Holding Ltd,7771290.0
49,260.32,260.855,256.03,256.03,18369893.0,260.855,256.03,256.03,260.32,18369893.0,BABA,XNYS,2020-12-14 00:00:00+00:00,Alibaba Group Holding Ltd,18369893.0
48,255.34,255.68,252.3,255.11,16595641.0,255.68,252.3,255.11,255.34,16595641.0,BABA,XNYS,2020-12-15 00:00:00+00:00,Alibaba Group Holding Ltd,16595641.0
47,257.74,263.18,257.04,261.89,15804754.0,263.18,257.04,261.89,257.74,15804754.0,BABA,XNYS,2020-12-16 00:00:00+00:00,Alibaba Group Holding Ltd,15804754.0
46,264.7,264.85,260.2,264.43,14306570.0,264.85,260.2,264.43,264.7,14306570.0,BABA,XNYS,2020-12-17 00:00:00+00:00,Alibaba Group Holding Ltd,14306570.0
45,263.9,264.9,259.2,260.0,15981756.0,264.9,259.2,260.0,263.9,15981756.0,BABA,XNYS,2020-12-18 00:00:00+00:00,Alibaba Group Holding Ltd,15981756.0
44,255.17,260.46,254.5,260.43,10901780.0,260.46,254.5,260.43,255.17,10901780.0,BABA,XNYS,2020-12-21 00:00:00+00:00,Alibaba Group Holding Ltd,10901780.0
43,257.87,258.34,255.41,255.83,11485743.0,258.34,255.41,255.83,257.87,11485743.0,BABA,XNYS,2020-12-22 00:00:00+00:00,Alibaba Group Holding Ltd,11485743.0
42,255.5,257.3499,252.5301,256.18,10729152.0,257.3499,252.5301,256.18,255.5,10729152.0,BABA,XNYS,2020-12-23 00:00:00+00:00,Alibaba Group Holding Ltd,10729152.0
41,228.235,229.9,211.23,222.0,141830000.0,229.9,211.23,222.0,228.235,141830000.0,BABA,XNYS,2020-12-24 00:00:00+00:00,Alibaba Group Holding Ltd,141830000.0
40,216.88,224.99,215.3201,222.36,72863844.0,224.99,215.3201,222.36,216.88,72863844.0,BABA,XNYS,2020-12-28 00:00:00+00:00,Alibaba Group Holding Ltd,72863844.0
